	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
183	Linear1_Dropout	(0.5,)	6000	10	0.5	0.7	10	0.10689719885587692
184	Linear1_Dropout	(0.5,)	6000	10	0.5	0.7	100	0.10680972757935524
185	Linear1_Dropout	(0.5,)	6000	10	0.5	0.7	250	0.10680972757935524
186	Linear1_Dropout	(0.5,)	6000	10	1.0	0.3	10	0.10727263060212135
187	Linear1_Dropout	(0.5,)	6000	10	1.0	0.3	100	0.10727255573868752
188	Linear1_Dropout	(0.5,)	6000	10	1.0	0.3	250	0.10727255573868752
189	Linear1_Dropout	(0.5,)	6000	10	1.0	0.7	10	0.10600160437822342
190	Linear1_Dropout	(0.5,)	6000	10	1.0	0.7	100	0.1063842271566391
191	Linear1_Dropout	(0.5,)	6000	10	1.0	0.7	250	0.1063842271566391
192	Linear1_Dropout	(0.5,)	6000	20	0.5	0.3	10	0.10664294993877411
193	Linear1_Dropout	(0.5,)	6000	20	0.5	0.3	100	0.10664293837547302
194	Linear1_Dropout	(0.5,)	6000	20	0.5	0.3	250	0.10664293837547302
195	Linear1_Dropout	(0.5,)	6000	20	0.5	0.7	10	0.10592116224765778
196	Linear1_Dropout	(0.5,)	6000	20	0.5	0.7	100	0.10621233379840851
197	Linear1_Dropout	(0.5,)	6000	20	0.5	0.7	250	0.10621233379840851
198	Linear1_Dropout	(0.5,)	6000	20	1.0	0.3	10	0.10663544112443923
199	Linear1_Dropout	(0.5,)	6000	20	1.0	0.3	100	0.10663542729616166
200	Linear1_Dropout	(0.5,)	6000	20	1.0	0.3	250	0.10663542729616166
201	Linear1_Dropout	(0.5,)	6000	20	1.0	0.7	10	0.10600269669294357
202	Linear1_Dropout	(0.5,)	6000	20	1.0	0.7	100	0.10634507441520691
203	Linear1_Dropout	(0.5,)	6000	20	1.0	0.7	250	0.10634507441520691
204	Linear1_Dropout	(0.5,)	6000	50	0.5	0.3	10	0.10591907167434693
205	Linear1_Dropout	(0.5,)	6000	50	0.5	0.3	100	0.10591909551620483
206	Linear1_Dropout	(0.5,)	6000	50	0.5	0.3	250	0.10591909551620483
